,ensembl_gene_id,log2FoldChange,padj,-log10(padj),hgnc_symbol
0,ENSG00000117877,0.0383731637321915,0.8590488518686907,0.0659821382715055,POLR1G
1,ENSG00000257315,-0.1777771618285821,0.6319089855728796,0.1993454690433979,ZBED6
2,ENSG00000279591,-0.3167898174005082,0.4757548319470761,0.3226167921585552,
3,ENSG00000171462,0.1005691083921908,0.7644055676158383,0.1166761583830763,DLK2
4,ENSG00000189280,-0.6360959868254941,0.2368089960018824,0.625601803470372,GJB5
5,ENSG00000265612,-0.1051742557486871,0.8505533845257721,0.0702984229363481,MIR4539
6,ENSG00000137309,0.1567828758554944,0.600838217394903,0.2212424510440883,HMGA1
7,ENSG00000237719,-0.0549709849041706,0.9197785613980723,0.0363167173701835,NUDT5P1
8,ENSG00000206190,0.3533779798698039,0.1809974079937324,0.7423276444793204,ATP10A
9,ENSG00000103653,0.0028191726915829,0.9882685262497176,0.0051250355505289,CSK
10,ENSG00000137154,0.0419270708671831,0.890384638822581,0.0504223411847313,RPS6
11,ENSG00000277007,0.0337488974852971,0.9289092561677824,0.0320267095483039,
12,ENSG00000214106,-0.0276709240769555,0.8944840014809379,0.048427422710563,PAXIP1-AS2
13,ENSG00000178568,-1.2703535702629056,0.0001690860512856,3.771892217946521,ERBB4
14,ENSG00000135069,0.1451025646332787,0.7093647898967491,0.1491303720144134,PSAT1
15,ENSG00000242294,0.037341235828985,0.907740575957428,0.0420382511795225,STAG3L5P
16,ENSG00000230062,-0.005127106755953,0.9939519282579332,0.0026346194227714,ANKRD66
17,ENSG00000132199,-0.1116626598897284,0.5070330706638235,0.2949637133719592,ENOSF1
18,ENSG00000198088,0.1171353567486278,0.6913827369508057,0.1602814685029033,NUP62CL
19,ENSG00000102043,0.1022089620474958,0.7544517220994945,0.1223685458110078,MTMR8
20,ENSG00000039560,0.4404557514491188,0.0084315018497318,2.074095060374356,RAI14
21,ENSG00000189419,-0.9142399147642092,6.100285901538749e-06,5.21464981047268,SPATA41
22,ENSG00000146859,0.1328718916901898,0.2452406770651401,0.6104074935346567,TMEM140
23,ENSG00000258388,0.1316241128797086,0.6374962396968764,0.1955223725939495,PPT2-EGFL8
24,ENSG00000067182,-0.2829854123636732,0.043903252349434,1.3575033060655546,TNFRSF1A
25,ENSG00000270504,0.1424517047541648,0.5620675589226829,0.2502114803314131,
26,ENSG00000101079,0.0855619289047606,0.4964449740097318,0.3041288817270795,NDRG3
27,ENSG00000160404,0.0876697224194538,0.6228516616307692,0.2056153726121609,TOR2A
28,ENSG00000214756,0.0801917310535311,0.6936948865858449,0.1588315067917119,CSKMT
29,ENSG00000063322,-0.0079883745254685,0.961247635620132,0.0171647154229106,MED29
30,ENSG00000175868,0.9626930059427168,0.0815141455096096,1.088767019680908,CALCB
31,ENSG00000213981,-0.6521662417781916,0.1210421067274989,0.917063526060833,
32,ENSG00000084764,0.0671864046953441,0.7825809623124894,0.1064707213001479,MAPRE3
33,ENSG00000111647,0.0112453534155453,0.9534997350022384,0.0206794233175892,BLTP3B
34,ENSG00000188993,-1.56421938612428,5.121560452860201e-05,4.290597696677548,LRRC66
35,ENSG00000201772,0.2894099588296338,0.3380619050135525,0.4710037655682573,SNORA5C
36,ENSG00000155011,-0.2731034477204507,0.3115678015599336,0.5064474300988879,DKK2
37,ENSG00000144120,-0.0809780881902801,0.6263522228348821,0.2031813769886121,TMEM177
