Compartment,LOY,ROY
Not engrafted,34.868421052631575,65.13157894736842
Engrafted,64.56043956043956,35.43956043956044
Left lung,76.03439011284256,23.965609887157445
Right lung,71.62637878432292,28.37362121567707
Lymph node,62.70456108182443,37.29543891817556
Liver,84.16126709863211,15.83873290136789
