LineageGroup	Sample2	loy	roy	n_total	loy_pct	roy_pct	lineageClass	eligible	pass_min_cells	used_for_enrichment
28	RL	1	79	80	0.0125	0.9875	ROY	True	True	True
30	LL	1	7	8	0.125	0.875	ROY	True	True	True
30	LM0_Engraft	2	4	6	0.3333333333333333	0.6666666666666666	ROY	True	True	True
30	Liv	0	10	10	0.0	1.0	ROY	True	True	True
30	M	25	59	84	0.2976190476190476	0.7023809523809523	ROY	True	True	True
30	RL	8	46	54	0.14814814814814814	0.8518518518518519	ROY	True	True	True
31	LL	11	2	13	0.8461538461538461	0.15384615384615385	LOY	True	True	True
31	LM0_Engraft	15	0	15	1.0	0.0	LOY	True	True	True
31	Liv	2	0	2	1.0	0.0	LOY	True	True	True
31	M	87	14	101	0.8613861386138614	0.13861386138613863	LOY	True	True	True
31	RL	4	1	5	0.8	0.2	LOY	True	True	True
32	LL	0	2	2	0.0	1.0	ROY	True	True	True
32	Liv	0	1	1	0.0	1.0	ROY	True	True	True
32	M	24	65	89	0.2696629213483146	0.7303370786516854	ROY	True	True	True
32	RL	6	13	19	0.3157894736842105	0.6842105263157895	ROY	True	True	True
34	LL	3	0	3	1.0	0.0	LOY	True	True	True
34	Liv	42	0	42	1.0	0.0	LOY	True	True	True
34	M	54	6	60	0.9	0.1	LOY	True	True	True
34	RL	19	0	19	1.0	0.0	LOY	True	True	True
35	LL	0	5	5	0.0	1.0	ROY	True	True	True
35	M	12	102	114	0.10526315789473684	0.8947368421052632	ROY	True	True	True
35	RL	0	3	3	0.0	1.0	ROY	True	True	True
36	LL	0	1	1	0.0	1.0	ROY	True	True	True
36	Liv	0	5	5	0.0	1.0	ROY	True	True	True
36	M	9	92	101	0.0891089108910891	0.9108910891089109	ROY	True	True	True
36	RL	0	10	10	0.0	1.0	ROY	True	True	True
37	LL	3	0	3	1.0	0.0	LOY	True	True	True
37	Liv	4	0	4	1.0	0.0	LOY	True	True	True
37	M	86	5	91	0.945054945054945	0.054945054945054944	LOY	True	True	True
37	RL	9	0	9	1.0	0.0	LOY	True	True	True
40	LL	0	1	1	0.0	1.0	ROY	True	True	True
40	LM0_Engraft	0	1	1	0.0	1.0	ROY	True	True	True
40	Liv	3	18	21	0.14285714285714285	0.8571428571428571	ROY	True	True	True
40	M	22	57	79	0.27848101265822783	0.7215189873417721	ROY	True	True	True
40	RL	0	11	11	0.0	1.0	ROY	True	True	True
42	LL	13	1	14	0.9285714285714286	0.07142857142857142	LOY	True	True	True
42	Liv	3	0	3	1.0	0.0	LOY	True	True	True
42	M	64	11	75	0.8533333333333334	0.14666666666666667	LOY	True	True	True
42	RL	7	0	7	1.0	0.0	LOY	True	True	True
43	LL	4	0	4	1.0	0.0	LOY	True	True	True
43	LM0_Engraft	101	0	101	1.0	0.0	LOY	True	True	True
43	Liv	13	0	13	1.0	0.0	LOY	True	True	True
43	M	62	3	65	0.9538461538461539	0.046153846153846156	LOY	True	True	True
43	RL	13	0	13	1.0	0.0	LOY	True	True	True
44	LL	1	0	1	1.0	0.0	LOY	True	True	True
44	M	79	12	91	0.8681318681318682	0.13186813186813187	LOY	True	True	True
44	RL	7	1	8	0.875	0.125	LOY	True	True	True
51	LL	0	1	1	0.0	1.0	ROY	True	True	True
51	Liv	0	6	6	0.0	1.0	ROY	True	True	True
51	M	3	56	59	0.05084745762711865	0.9491525423728814	ROY	True	True	True
51	RL	0	13	13	0.0	1.0	ROY	True	True	True
52	LL	1	0	1	1.0	0.0	LOY	True	True	True
52	LM0_Engraft	5	0	5	1.0	0.0	LOY	True	True	True
52	M	38	6	44	0.8636363636363636	0.13636363636363635	LOY	True	True	True
52	RL	15	4	19	0.7894736842105263	0.21052631578947367	LOY	True	True	True
56	LL	0	4	4	0.0	1.0	ROY	True	True	True
56	Liv	0	6	6	0.0	1.0	ROY	True	True	True
56	M	4	41	45	0.08888888888888889	0.9111111111111111	ROY	True	True	True
56	RL	0	3	3	0.0	1.0	ROY	True	True	True
59	LL	0	3	3	0.0	1.0	ROY	True	True	True
59	Liv	0	4	4	0.0	1.0	ROY	True	True	True
59	M	7	28	35	0.2	0.8	ROY	True	True	True
59	RL	0	18	18	0.0	1.0	ROY	True	True	True
60	LL	0	3	3	0.0	1.0	ROY	True	True	True
60	M	5	36	41	0.12195121951219512	0.8780487804878049	ROY	True	True	True
60	RL	0	1	1	0.0	1.0	ROY	True	True	True
62	LL	0	3	3	0.0	1.0	ROY	True	True	True
62	Liv	0	2	2	0.0	1.0	ROY	True	True	True
62	M	8	33	41	0.1951219512195122	0.8048780487804879	ROY	True	True	True
62	RL	1	6	7	0.14285714285714285	0.8571428571428571	ROY	True	True	True
64	LL	3	0	3	1.0	0.0	LOY	True	True	True
64	LM0_Engraft	3	0	3	1.0	0.0	LOY	True	True	True
64	Liv	1	1	2	0.5	0.5	LOY	True	True	True
64	M	37	4	41	0.9024390243902439	0.0975609756097561	LOY	True	True	True
64	RL	9	1	10	0.9	0.1	LOY	True	True	True
66	LL	0	1	1	0.0	1.0	ROY	True	True	True
66	Liv	0	1	1	0.0	1.0	ROY	True	True	True
66	M	2	16	18	0.1111111111111111	0.8888888888888888	ROY	True	True	True
66	RL	0	28	28	0.0	1.0	ROY	True	True	True
