Sample2,LOY,ROY,n_total,loy_pct,roy_pct
LL,1415,446,1861,0.7603439011284255,0.23965609887157444
Liv,2338,440,2778,0.8416126709863211,0.1583873290136789
M,13679,8136,21815,0.6270456108182443,0.37295438918175566
RL,6104,2418,8522,0.7162637878432293,0.2837362121567707
LM0_Engraft,470,258,728,0.6456043956043956,0.3543956043956044
LM0_NotEngraft,2756,5148,7904,0.34868421052631576,0.6513157894736842
